domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,3,73,262,66,23,"['216.58.215.238', '142.250.203.110', '172.217.168.46', '142.250.186.46', '216.58.215.238']"
youtube.com,16,3,3,2111,22,"['172.217.168.78', '216.58.215.238', '142.250.203.110', '142.250.184.238', '172.217.168.78']"
facebook.com,12,73,4,8,29,"['157.240.201.35', '157.240.17.35', '157.240.251.35', '157.240.252.35', '157.240.201.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,4,6,5,8,6,"['20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.81.111.85', '20.84.181.62', '20.53.203.50', '20.112.250.133', '20.236.44.162', '20.81.111.85', '20.112.52.29', '20.76.201.171', '20.231.239.246', '20.84.181.62', '20.70.246.20', '20.103.85.33', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.236.44.162', '20.53.203.50', '20.70.246.20', '20.76.201.171', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.112.52.29']"
netflix.com,5,289,3,812,16,"['54.246.79.9', '54.170.196.176', '52.214.181.141', '54.74.73.31', '54.155.178.5', '3.251.50.149', '54.155.246.232', '54.73.148.110', '18.200.8.190', '54.170.196.176', '54.246.79.9', '52.214.181.141', '54.155.178.5', '3.251.50.149', '54.74.73.31']"
epicgames.com,3,270,4,2578,16,"['54.157.155.117', '52.86.209.73', '34.205.180.101', '52.71.194.139', '52.207.120.16', '3.211.207.12', '44.215.224.99', '3.228.194.172', '34.193.109.40', '3.224.229.142', '54.197.143.69', '34.203.119.126', '54.157.155.117', '34.232.137.100', '52.207.120.16', '18.210.160.48', '52.86.209.73', '3.232.100.130', '54.90.222.114', '34.192.116.37', '3.210.115.173', '34.232.137.100', '18.232.4.194', '3.223.206.124', '23.20.205.194', '54.87.93.14', '34.205.180.101', '3.230.29.161', '54.197.143.69', '34.203.119.126', '34.203.148.103', '54.235.191.8', '52.22.246.29', '54.87.93.14', '3.86.126.224', '3.211.207.12', '3.216.16.195', '3.228.194.172', '34.192.40.46', '34.206.236.114']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,4,3,3,9,6,"['104.244.42.1', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.65', '104.244.42.193', '104.244.42.129', '104.244.42.65', '104.244.42.1', '104.244.42.129']"
instagram.com,9,32,5,8,6,"['157.240.201.174', '157.240.17.174', '157.240.251.174', '157.240.252.174', '157.240.201.174']"
baidu.com,1,6,3,10,6,"['110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10', '110.242.68.66', '39.156.66.10', '110.242.68.66', '39.156.66.10']"
amazonaws.com,2,4,3,8,5,"['72.21.206.80', '207.171.166.22', '72.21.210.29', '207.171.166.22', '72.21.206.80', '72.21.210.29', '72.21.210.29', '72.21.206.80', '207.171.166.22', '72.21.206.80', '207.171.166.22', '72.21.210.29', '72.21.210.29', '207.171.166.22', '72.21.206.80']"
apple.com,3,1,3,12,5,"['17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10']"
linkedin.com,10,2,3,2111,14,"['13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14']"
