domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,2,129,11,8,35,"['142.250.203.110', '142.250.203.110', '172.217.168.46', '172.217.16.142', '142.250.203.110']"
youtube.com,15,68,3,8,22,"['172.217.168.78', '142.250.203.110', '216.58.215.238', '142.250.186.78', '172.217.168.78']"
facebook.com,9,269,5,10,13,"['157.240.201.35', '157.240.17.35', '157.240.203.35', '157.240.252.35', '157.240.201.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,2,166,5,12,5,"['20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.81.111.85', '20.53.203.50', '20.103.85.33', '20.112.52.29', '20.81.111.85', '20.84.181.62', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.112.52.29', '20.53.203.50']"
netflix.com,8,426,3,10,7,"['18.200.8.190', '54.155.246.232', '54.73.148.110', '54.74.73.31', '54.155.178.5', '3.251.50.149', '54.170.196.176', '54.246.79.9', '52.214.181.141', '3.211.157.115', '3.225.92.8', '54.160.93.182', '54.73.148.110', '54.155.246.232', '18.200.8.190']"
epicgames.com,3,64,4,2414,16,"['3.233.179.35', '3.228.194.172', '54.226.212.47', '3.216.16.195', '54.210.212.240', '54.226.83.163', '34.206.236.114', '107.23.88.204', '44.215.224.99', '3.230.29.161', '3.210.97.92', '3.232.100.130', '34.203.148.103', '54.226.83.163', '3.224.229.142', '34.236.240.206', '3.210.97.92', '3.230.29.161', '174.129.246.223', '52.207.120.16', '3.232.100.130', '3.223.206.124', '52.71.194.139', '34.192.116.37', '3.228.194.172', '52.86.209.73', '18.213.59.57', '54.87.93.14', '3.223.206.124', '3.233.179.35', '54.197.143.69', '52.2.162.131', '54.235.191.8', '107.23.88.204', '3.211.207.12', '3.232.100.130', '34.206.236.114', '34.236.240.206', '52.71.194.139', '54.90.222.114']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,3,3,3,11,6,"['104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.193', '104.244.42.193', '104.244.42.1', '104.244.42.129']"
