domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,3,2,3,8,34,"['216.58.215.238', '142.250.203.110', '172.217.168.46', '142.250.181.238', '142.250.203.110']"
youtube.com,16,16,3,30,22,"['172.217.168.78', '142.250.203.110', '142.250.203.110', '142.250.185.238', '172.217.168.78']"
facebook.com,3,94,3,8,7,"['157.240.201.35', '157.240.17.35', '157.240.203.35', '157.240.0.35', '157.240.201.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,2,13,3,21,7,"['20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.81.111.85', '20.84.181.62', '20.112.52.29', '20.103.85.33', '20.53.203.50', '20.81.111.85', '20.84.181.62', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.112.52.29', '20.53.203.50']"
netflix.com,9,1024,3,21,17,"['54.155.178.5', '3.251.50.149', '54.74.73.31', '54.155.178.5', '54.74.73.31', '3.251.50.149', '54.246.79.9', '52.214.181.141', '54.170.196.176', '3.211.157.115', '54.160.93.182', '3.225.92.8', '18.200.8.190', '54.73.148.110', '54.155.246.232']"
epicgames.com,4,4,5,20,9,"['3.86.126.224', '34.192.40.46', '3.224.231.164', '3.228.194.172', '52.207.120.16', '3.208.225.137', '34.193.142.121', '34.225.166.220', '174.129.246.223', '52.2.162.131', '34.203.119.126', '34.205.180.101', '3.86.126.224', '3.223.206.124', '54.210.212.240', '3.211.207.12', '52.22.246.29', '3.224.229.142', '3.208.225.137', '54.226.83.163', '107.23.88.204', '52.22.82.88', '23.20.205.194', '54.90.222.114', '52.207.120.16', '3.224.229.142', '3.210.97.92', '34.193.142.121', '3.216.16.195', '54.89.15.95', '52.71.194.139', '3.233.179.35', '54.226.83.163', '3.216.16.195', '3.223.206.124', '3.224.229.142', '3.230.29.161', '34.232.137.100', '52.22.82.88', '52.22.246.29']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,3,2,2,10,6,"['104.244.42.193', '104.244.42.129', '104.244.42.65', '104.244.42.1', '104.244.42.193', '104.244.42.1', '104.244.42.129', '104.244.42.65', '104.244.42.65', '104.244.42.193', '104.244.42.65']"
instagram.com,9,41,3,15,7,"['157.240.201.174', '157.240.17.174', '157.240.203.174', '157.240.27.174', '157.240.201.174']"
