domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,105,8,8,7,102,"['142.250.204.14', '142.251.221.78', '172.217.24.46', '142.250.204.14', '142.250.204.14']"
youtube.com,102,16,10,11,100,"['142.250.204.14', '142.250.67.14', '172.217.24.46', '172.217.167.78', '142.250.204.14']"
facebook.com,7,8,9,8,13,"['157.240.8.35', '157.240.8.35', '157.240.8.35', '157.240.8.35', '31.13.66.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,7,10,7,13,11,"['20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.84.181.62', '20.53.203.50', '20.81.111.85', '20.112.52.29', '20.103.85.33', '20.53.203.50', '20.81.111.85', '20.84.181.62', '20.112.52.29', '20.103.85.33', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.84.181.62', '20.103.85.33', '20.112.52.29', '20.53.203.50', '20.81.111.85']"
netflix.com,13,7,12,182,44,"['52.38.7.83', '44.242.13.161', '44.240.158.19', '44.234.232.238', '44.242.60.85', '44.237.234.25', '44.234.232.238', '44.237.234.25', '44.242.60.85', '44.242.60.85', '44.234.232.238', '44.237.234.25', '44.237.234.25', '44.242.60.85', '44.234.232.238']"
epicgames.com,9,10,14,143,21,"['34.192.116.37', '54.90.222.114', '3.233.179.35', '3.210.115.173', '3.211.207.12', '34.236.240.206', '54.226.83.163', '54.87.93.14', '3.211.207.12', '34.203.119.126', '52.22.82.88', '3.230.29.161', '3.223.206.124', '18.213.59.57', '34.205.180.101', '34.225.166.220', '34.193.109.40', '3.230.29.161', '3.86.126.224', '52.203.14.136', '34.205.180.101', '54.197.143.69', '54.87.93.14', '54.226.83.163', '54.89.15.95', '3.210.115.173', '34.203.148.103', '18.213.59.57', '3.210.97.92', '34.232.137.100', '34.193.109.40', '3.216.16.195', '34.206.236.114', '34.236.240.206', '52.2.162.131', '52.71.194.139', '52.203.14.136', '54.87.93.14', '174.129.246.223', '3.211.207.12']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,10,17,9,10,6,"['104.244.42.65', '104.244.42.193', '104.244.42.1', '104.244.42.129', '104.244.42.129', '104.244.42.193', '104.244.42.1', '104.244.42.65', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.129', '104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.1']"
instagram.com,11,11,10,11,101,"['31.13.66.174', '157.240.8.174', '157.240.8.174', '157.240.8.174', '31.13.66.174']"
baidu.com,11,10,7,338,9,"['39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10', '110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10']"
amazonaws.com,10,7,8,120,9,"['207.171.166.22', '72.21.210.29', '72.21.206.80', '207.171.166.22', '72.21.206.80', '72.21.210.29', '72.21.206.80', '72.21.210.29', '207.171.166.22', '72.21.206.80', '207.171.166.22', '72.21.210.29', '72.21.210.29', '207.171.166.22', '72.21.206.80']"
apple.com,8,12,8,13,8,"['17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10']"
linkedin.com,18,8,10,10,9,"['13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14']"
cloudflare.com,12,11,7,11,8,"['104.16.133.229', '104.16.132.229', '104.16.133.229', '104.16.132.229', '104.16.132.229', '104.16.133.229', '104.16.133.229', '104.16.132.229', '104.16.133.229', '104.16.132.229']"
wikipedia.org,279,6,9,211,220,"['103.102.166.224', '103.102.166.224', '103.102.166.224', '103.102.166.224', '103.102.166.224']"
