domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,142,8,7,13,101,"['142.250.204.14', '142.250.67.14', '172.217.24.46', '142.251.221.78', '142.250.204.14']"
youtube.com,103,15,8,10,101,"['142.250.204.14', '142.250.67.14', '172.217.24.46', '172.217.167.78', '142.250.204.14']"
facebook.com,13,8,9,10,101,"['31.13.66.35', '157.240.8.35', '157.240.8.35', '157.240.8.35', '31.13.66.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,7,7,10,10,8,"['20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.81.111.85', '20.112.52.29', '20.112.52.29', '20.84.181.62', '20.53.203.50', '20.81.111.85', '20.103.85.33', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.112.52.29', '20.53.203.50', '20.81.111.85', '20.84.181.62', '20.103.85.33']"
netflix.com,10,8,9,117,22,"['52.38.7.83', '44.240.158.19', '44.242.13.161', '44.237.234.25', '44.242.60.85', '44.234.232.238', '44.240.158.19', '52.38.7.83', '44.242.13.161', '52.38.7.83', '44.240.158.19', '44.242.13.161', '44.242.13.161', '52.38.7.83', '44.240.158.19']"
epicgames.com,8,10,10,119,8,"['52.71.194.139', '3.210.97.92', '52.22.82.88', '3.224.229.142', '34.192.116.37', '34.192.40.46', '54.226.83.163', '54.235.191.8', '54.90.222.114', '3.208.225.137', '107.23.88.204', '52.22.82.88', '3.223.206.124', '23.20.205.194', '54.226.83.163', '3.233.179.35', '3.232.100.130', '34.192.40.46', '3.216.16.195', '54.197.143.69', '54.157.155.117', '34.206.236.114', '34.205.180.101', '18.213.59.57', '3.233.179.35', '3.232.100.130', '34.203.119.126', '3.228.194.172', '3.224.231.164', '23.20.205.194', '3.223.206.124', '34.193.142.121', '34.192.40.46', '34.203.148.103', '34.225.166.220', '44.215.224.99', '52.22.82.88', '54.197.143.69', '3.228.194.172', '3.232.100.130']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,10,9,7,11,10,"['104.244.42.129', '104.244.42.193', '104.244.42.1', '104.244.42.65', '104.244.42.65', '104.244.42.129', '104.244.42.129', '104.244.42.193', '104.244.42.1', '104.244.42.65', '104.244.42.1']"
