domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,5,4,4,111,56,"['142.251.128.142', '142.250.218.78', '142.250.218.174', '142.250.64.110', '142.250.219.206']"
youtube.com,55,5,4,112,52,"['142.251.128.142', '142.250.218.14', '142.250.219.238', '142.251.41.14', '142.251.128.142']"
facebook.com,7,6,7,117,57,"['157.240.12.35', '157.240.12.35', '157.240.226.35', '157.240.241.35', '157.240.12.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,7,6,5,112,4,"['20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.76.201.171', '20.231.239.246', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.236.44.162', '20.70.246.20', '20.76.201.171', '20.112.250.133', '20.231.239.246']"
netflix.com,6,10,4,126,6,"['54.237.226.164', '52.3.144.142', '3.230.129.93', '54.160.93.182', '3.211.157.115', '3.225.92.8', '3.225.92.8', '3.211.157.115', '54.160.93.182', '54.160.93.182', '3.225.92.8', '3.211.157.115', '3.225.92.8', '54.160.93.182', '3.211.157.115']"
epicgames.com,5,6,5,122,6,"['52.22.246.29', '54.226.83.163', '18.210.41.252', '54.226.212.47', '23.20.192.195', '174.129.246.223', '34.192.116.37', '107.23.88.204', '54.89.15.95', '44.215.224.99', '34.205.180.101', '54.235.191.8', '35.169.142.199', '18.210.41.252', '3.210.115.173', '23.20.192.195', '34.205.180.101', '52.2.162.131', '23.20.205.194', '34.203.119.126', '54.226.83.163', '34.225.166.220', '54.226.212.47', '3.224.229.142', '52.71.194.139', '3.210.97.92', '54.157.155.117', '34.203.119.126', '23.20.205.194', '18.232.4.194', '52.2.162.131', '100.25.18.185', '107.23.88.204', '174.129.246.223', '3.228.194.172', '18.210.160.48', '18.232.4.194', '23.20.205.194', '34.205.180.101', '54.210.212.240']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,8,5,4,113,4,"['104.244.42.129', '104.244.42.129', '104.244.42.1', '104.244.42.65', '104.244.42.193', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.1', '104.244.42.65']"
instagram.com,8,5,4,113,5,"['157.240.12.174', '31.13.85.174', '157.240.12.174', '157.240.241.174', '157.240.12.174']"
baidu.com,3,5,5,352,4,"['110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66', '39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66']"
