domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,4,5,5,147,60,"['142.250.218.14', '142.250.219.14', '142.251.128.46', '142.250.81.238', '142.250.219.238']"
youtube.com,5,5,4,127,59,"['142.251.129.206', '142.251.129.206', '142.251.129.142', '142.250.65.238', '142.251.128.142']"
facebook.com,8,5,5,112,5,"['157.240.12.35', '157.240.226.35', '157.240.12.35', '157.240.241.35', '157.240.12.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,4,5,4,125,4,"['20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.112.52.29', '20.103.85.33', '20.81.111.85', '20.84.181.62', '20.53.203.50', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.112.52.29', '20.53.203.50', '20.81.111.85', '20.84.181.62', '20.103.85.33', '20.53.203.50', '20.112.52.29', '20.84.181.62', '20.103.85.33', '20.112.52.29', '20.53.203.50', '20.81.111.85']"
netflix.com,7,5,6,115,6,"['54.160.93.182', '3.225.92.8', '3.211.157.115', '52.3.144.142', '54.237.226.164', '3.230.129.93', '3.211.157.115', '54.160.93.182', '3.225.92.8', '3.225.92.8', '54.160.93.182', '3.211.157.115', '54.160.93.182', '3.211.157.115', '3.225.92.8']"
epicgames.com,7,8,5,136,4,"['52.22.246.29', '52.86.209.73', '54.235.191.8', '52.207.120.16', '34.225.166.220', '174.129.246.223', '34.205.180.101', '34.192.40.46', '54.226.83.163', '3.86.126.224', '34.225.166.220', '18.213.59.57', '3.224.231.164', '52.207.120.16', '34.236.240.206', '44.215.224.99', '3.228.194.172', '54.226.212.47', '35.169.142.199', '52.86.209.73', '52.207.120.16', '174.129.246.223', '44.215.224.99', '3.232.100.130', '54.226.83.163', '34.203.148.103', '174.129.246.223', '34.236.240.206', '52.2.162.131', '54.90.222.114', '34.193.142.121', '3.86.126.224', '52.22.82.88', '52.22.246.29', '54.226.83.163', '3.210.115.173', '3.223.206.124', '3.230.29.161', '18.213.59.57', '35.169.142.199']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,8,5,4,114,4,"['104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.193', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.1', '104.244.42.129', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.65']"
instagram.com,6,5,4,126,47,"['157.240.12.174', '157.240.222.174', '157.240.12.174', '31.13.71.174', '157.240.12.174']"
baidu.com,4,4,3,328,4,"['110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66', '39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10', '110.242.68.66', '39.156.66.10']"
amazonaws.com,4,4,4,123,5,"['207.171.166.22', '72.21.206.80', '72.21.210.29', '72.21.206.80', '72.21.210.29', '207.171.166.22', '72.21.206.80', '72.21.210.29', '207.171.166.22', '72.21.210.29', '72.21.206.80', '207.171.166.22', '72.21.206.80', '72.21.210.29', '207.171.166.22']"
apple.com,4,4,3,114,4,"['17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10']"
linkedin.com,8,4,4,111,8,"['13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14']"
