domain,google,quad9,cloudflare,comodosecuredns,opendns,A_list
google.com,5,6,4,132,54,"['142.250.219.46', '142.251.128.14', '142.251.129.238', '142.250.81.238', '142.250.219.206']"
youtube.com,4,5,4,196,54,"['142.250.219.174', '142.250.218.206', '216.58.222.14', '142.250.65.238', '142.251.128.142']"
facebook.com,5,5,4,112,5,"['157.240.12.35', '157.240.12.35', '157.240.226.35', '31.13.67.35', '157.240.12.35']"
a-msedge.net,0,0,0,0,0,[]
microsoft.com,4,5,5,112,4,"['20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.70.246.20', '20.231.239.246', '20.76.201.171', '20.112.250.133', '20.231.239.246', '20.76.201.171', '20.70.246.20', '20.236.44.162', '20.112.250.133', '20.231.239.246', '20.236.44.162', '20.70.246.20', '20.76.201.171']"
netflix.com,7,5,4,135,6,"['54.160.93.182', '3.211.157.115', '3.225.92.8', '54.160.93.182', '3.225.92.8', '3.211.157.115', '54.160.93.182', '3.225.92.8', '3.211.157.115', '3.230.129.93', '52.3.144.142', '54.237.226.164', '3.211.157.115', '3.225.92.8', '54.160.93.182']"
epicgames.com,6,6,5,121,7,"['3.224.231.164', '3.210.115.173', '52.2.162.131', '174.129.246.223', '3.223.206.124', '54.210.212.240', '100.25.18.185', '54.235.191.8', '3.224.231.164', '52.2.162.131', '3.230.29.161', '18.210.41.252', '3.224.229.142', '18.210.160.48', '54.226.83.163', '54.157.155.117', '52.22.246.29', '107.23.88.204', '18.232.4.194', '3.86.126.224', '34.192.116.37', '34.225.166.220', '23.20.205.194', '54.87.93.14', '18.210.160.48', '54.197.143.69', '34.192.40.46', '54.235.191.8', '34.193.109.40', '3.208.225.137', '54.87.93.14', '107.23.88.204', '54.197.143.69', '54.226.83.163', '3.210.115.173', '3.233.179.35', '34.205.180.101', '34.225.166.220', '52.2.162.131', '54.90.222.114']"
akamaiedge.net,0,0,0,0,0,[]
gtld-servers.net,0,0,0,0,0,[]
twitter.com,7,11,4,116,4,"['104.244.42.1', '104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.1', '104.244.42.65', '104.244.42.129', '104.244.42.1', '104.244.42.65', '104.244.42.193', '104.244.42.65', '104.244.42.129', '104.244.42.193', '104.244.42.1']"
instagram.com,7,5,3,126,5,"['157.240.12.174', '31.13.85.174', '157.240.12.174', '31.13.71.174', '157.240.12.174']"
baidu.com,4,6,4,357,4,"['110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66', '39.156.66.10', '110.242.68.66', '110.242.68.66', '39.156.66.10', '39.156.66.10', '110.242.68.66']"
amazonaws.com,4,5,4,117,4,"['72.21.206.80', '207.171.166.22', '72.21.210.29', '72.21.206.80', '207.171.166.22', '72.21.210.29', '72.21.210.29', '72.21.206.80', '207.171.166.22', '72.21.206.80', '72.21.210.29', '207.171.166.22', '72.21.206.80', '72.21.210.29', '207.171.166.22']"
apple.com,4,5,4,113,4,"['17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10', '17.253.144.10']"
linkedin.com,8,5,4,114,7,"['13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14', '13.107.42.14']"
cloudflare.com,5,5,4,119,5,"['104.16.133.229', '104.16.132.229', '104.16.132.229', '104.16.133.229', '104.16.132.229', '104.16.133.229', '104.16.133.229', '104.16.132.229', '104.16.132.229', '104.16.133.229']"
wikipedia.org,149,5,4,111,5,"['208.80.154.224', '208.80.154.224', '208.80.154.224', '208.80.154.224', '208.80.154.224']"
